Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
29,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",,Success,14 January 2017,
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,"Success
",,No attempt,19 February 2017,
31,KSC,EchoStar 23,"5,600 kg",GTO,SES,Success,,Success,16 March 2017,
32,KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",,Success,30 March 2017,
33,KSC,NROL-76,C,LEO,Inmarsat,"Success
",,No attempt,1 May 2017,
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,"Success
",,Success,15 May 2017,
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,"Success
",,Success,3 June 2017,
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",,Success,23 June 2017,
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,"Success
",,No attempt,25 June 2017,
38,KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",,Success,5 July 2017,
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,"Success
",,Success,14 August 2017,
40,VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",,Success,24 August 2017,
41,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,"Success
",,Success,7 September 2017,
42,VAFB,Iridium NEXT,"9,600 kg",Polar,SES S.A.,"Success
",,Success,9 October 2017,
43,KSC,SES-11,"5,200 kg",GTO,KT Corporation,"Success
",,Success,11 October 2017,
44,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,"Success
",,Success,30 October 2017,
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,,Controlled,15 December 2017,
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,Success,,Success,23 December 2017,
47,CCAFS,Zuma,C,LEO,SES,Success,,Controlled,8 January 2018,
48,CCAFS,GovSat-1,"4,230 kg",GTO,Hisdesat,Success,,No attempt,31 January 2018,
49,VAFB,Paz,"2,150 kg",SSO,Hispasat,Success,,No attempt,22 February 2018,
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,,No attempt,6 March 2018,
51,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,,No attempt,30 March 2018,
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,,Success,2 April 2018,
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia,Success,,Success,18 April 2018,
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,Success,,No attempt,11 May 2018,
55,VAFB,Iridium NEXT,"6,460 kg",Polar,SES,Success,,No attempt,22 May 2018,
56,CCAFS,SES-12,"5,384 kg",GTO,NASA,Success,,No attempt,4 June 2018,
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,,Success,29 June 2018,
58,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,Success,,Success,22 July 2018,
59,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,,Success,25 July 2018,
60,CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,Success,,Success,7 August 2018,
61,CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,Success,,Success,10 September 2018,
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,,Success,8 October 2018,
63,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,Success,,Success,15 November 2018,
64,VAFB,SSO-A,"~4,000 kg",SSO,NASA,"Success
",,Failure,3 December 2018,
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,Success,,No attempt,5 December 2018,
66,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",,Success,23 December 2018,
67,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",,Success,11 January 2019,
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",,Success,22 February 2019,
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",,Success,2 March 2019,
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",,Success,4 May 2019,
71,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,"Success
",,Success,24 May 2019,
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",,Success,12 June 2019,
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",,No attempt,25 July 2019,
74,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",,Success,6 August 2019,
75,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,11 November 2019,
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",,Success,5 December 2019,
77,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",,Success,17 December 2019,
78,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,"No attempt
",7 January 2020,
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",,Success,19 January 2020,
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,29 January 2020,
81,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,17 February 2020,
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",,Failure,7 March 2020,
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 March 2020,
84,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,22 April 2020,
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",,Success,30 May 2020,
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,4 June 2020,
87,CCAFS,Starlink,"15,410 kg",LEO,U.S. Space Force,"Success
",,Success,13 June 2020,
88,CCAFS,GPS III,"4,311 kg",MEO,Republic of Korea Army,"Success
",,Success,30 June 2020,
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",,Success,20 July 2020,
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",,Success,7 August 2020,
91,CCAFS,Starlink,"~15,440 kg",LEO,CONAE,"Success
",,Success,18 August 2020,
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",,Success,30 August 2020,
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,3 September 2020,
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,6 October 2020,
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 October 2020,
96,CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",,Success,24 October 2020,
97,CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",,Success,5 November 2020,
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",,Success,16 November 2020,
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",,Success,21 November 2020,
100,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,25 November 2020,
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,"Success
",,Success,6 December 2020,
102,CCSFS,SXM-7,"7,000 kg",GTO,NRO,"Success
",,Success,13 December 2020,
103,KSC,NROL-108,C,LEO,Türksat,"Success
",,Success,19 December 2020,
104,CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",,Success,8 January 2021,
105,KSC,Starlink,"15,600 kg",LEO,,,,,20 January 2021,
106,CCSFS,Transporter-1,"~5,000 kg",SSO,,,,,24 January 2021,
